",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"156,0.0488500000000001,0.24645,7,""5"",""G7_P5"",""Prosper"",""12_08_2020"",84,19.45041,0.834575008465966"
"157,0.03425,0.0990500000000001,6,""5"",""G6_P5"",""Anouck"",""13_08_2020"",84,10.34371,0.743060765191298"
"158,0,0.03405,3,""5"",""G3_P5"",""Aphia"",""12_08_2020"",89.5,2.91428,1"
"159,0.0627500000000001,0.03495,6,""1"",""G6_P1"",""Aphia"",""12_08_2020"",83.5,7.82931,0.357727737973388"
"160,0,0.06715,7,""3"",""G7_P3"",""Aphia"",""13_08_2020"",92,7.40371,1"
"161,0.06745,0.06415,6,""5"",""G6_P5"",""Nora"",""13_08_2020"",49,13.46451,0.487462006079027"
"162,0.0991500000000001,0.0609500000000001,5,""1"",""G5_P1"",""Nora"",""13_08_2020"",87,13.76631,0.380699562773267"
"163,0.03225,0.04905,5,""3"",""G5_P3"",""Solenn"",""13_08_2020"",62.5,8.98781,0.603321033210332"
"164,0.0346500000000001,0.0122500000000001,3,""3"",""G3_P3"",""Solenn"",""13_08_2020"",55,20.52721,0.261194029850747"
"165,0.0283500000000001,0.0624,6,""5"",""G6_P5"",""Prosper"",""13_08_2020"",32.4,1.91806,0.687603305785123"
"166,0.03515,0.03935,7,""1"",""G7_P1"",""Prosper"",""13_08_2020"",70,13.57621,0.528187919463087"
"167,0.0363500000000001,0.11975,6,""5"",""G6_P5"",""Prosper"",""14_08_2020"",88,18.87131,0.767136450992953"
"168,0.08265,0,6,""3"",""G6_P3"",""Anouck"",""13_08_2020"",59,10.63726,0"
"169,0.04105,0.07525,7,""5"",""G7_P5"",""Anouck"",""13_08_2020"",87,9.23241,0.647033533963887"
"170,0.04115,0.11585,7,""1"",""G7_P1"",""Anouck"",""14_08_2020"",78,18.86811,0.737898089171975"
"171,0,0.013,3,""5"",""G3_P5"",""Anouck"",""14_08_2020"",91,20.00833,1"
"172,0.04315,0.04335,5,""1"",""G5_P1"",""Aphia"",""13_08_2020"",67.5,11.63721,0.501156069364162"
"173,0.03315,0.17005,6,""3"",""G6_P3"",""Aphia"",""13_08_2020"",93.5,11.88251,0.836860236220472"
"174,0.05025,0.06615,3,""5"",""G3_P5"",""Aphia"",""14_08_2020"",63,17.06451,0.568298969072165"
"175,0.24815,0.0572,6,""3"",""G6_P3"",""Aphia"",""14_08_2020"",51.5,4.46406,0.187326019322089"
"176,0.0749500000000001,0.16165,7,""1"",""G7_P1"",""Aphia"",""14_08_2020"",69,14.54671,0.683220625528318"
"177,0.04535,0.42515,7,""1"",""G7_P1"",""Nora"",""13_08_2020"",65.5,12.97451,0.903613177470776"
"178,0,0.25985,7,""3"",""G7_P3"",""Nora"",""14_08_2020"",92,9.11271,1"
"179,0.02685,0.0338,7,""1"",""G7_P1"",""Nathan"",""19_08_2020"",79,24.14166,0.557295960428689"
"180,0.0333500000000001,0,3,""1"",""G3_P1"",""Nathan"",""19_08_2020"",82.5,4.84926,0"
"181,0,0.0911500000000001,6,""1"",""G6_P1"",""Anouck"",""21_08_2020"",86,15.08721,1"
"182,0.05205,0.0208,6,""5"",""G6_P5"",""Aphia"",""20_08_2020"",83.5,11.56686,0.285518188057653"
"183,0.10405,0.0618500000000001,6,""5"",""G6_P5"",""Anouck"",""20_08_2020"",71.5,11.19591,0.372814948764316"
"184,0.05145,0.03495,6,""5"",""G6_P5"",""Melissa"",""20_08_2020"",70.4,16.63801,0.404513888888889"
"185,0.07315,0.17825,7,""1"",""G7_P1"",""Prosper"",""20_08_2020"",77.5,15.19531,0.709029435163087"
"186,0.16075,0.039,3,""3"",""G3_P3"",""Prosper"",""20_08_2020"",88.6,14.89106,0.195244055068836"
"187,0,0.19085,7,""1"",""G7_P1"",""Prosper"",""20_08_2020"",76.5,25.25451,1"
"188,0.16535,0.02705,6,""3"",""G6_P3"",""Prosper"",""20_08_2020"",77.5,8.86611,0.140592515592516"
"189,0.08465,0.0515500000000001,6,""1"",""G6_P1"",""Prosper"",""21_08_2020"",89.1,13.18561,0.37848751835536"
"190,0.0304500000000001,0.0938500000000001,5,""5"",""G5_P5"",""Melissa"",""20_08_2020"",62.8,11.67291,0.755028157683025"
"191,0.0426500000000001,0.14835,3,""3"",""G3_P3"",""Melissa"",""20_08_2020"",94.3,19.42141,0.776701570680628"
"192,0.05315,0.0305500000000001,7,""5"",""G7_P5"",""Melissa"",""20_08_2020"",91.4,11.68261,0.36499402628435"
"193,0.0619500000000001,0.03215,6,""3"",""G6_P3"",""Aline"",""20_08_2020"",94,14.45521,0.341657810839532"
"194,0.0436500000000001,0.09965,7,""5"",""G7_P5"",""Aline"",""20_08_2020"",80,19.95471,0.695394277739009"
"195,0.08975,0.0182500000000001,3,""5"",""G3_P5"",""Aline"",""20_08_2020"",70.5,15.76731,0.168981481481482"
"196,0.12295,0.26575,5,""1"",""G5_P1"",""Aphia"",""21_08_2020"",80.5,11.05881,0.683689220478518"
"197,0.05345,0.04025,6,""5"",""G6_P5"",""Aphia"",""21_08_2020"",73.5,14.49631,0.429562433297759"
"198,0.05625,0.23985,7,""1"",""G7_P1"",""Aphia"",""21_08_2020"",70.5,13.14091,0.810030395136778"
"199,0.0404500000000001,0.09765,6,""3"",""G6_P3"",""Aphia"",""21_08_2020"",100,11.46571,0.707096307023895"
"200,0,0.00865000000000005,3,""5"",""G3_P5"",""Melissa"",""20_08_2020"",75,6.04471,1"
"201,0,0.24595,7,""5"",""G7_P5"",""Melissa"",""21_08_2020"",68.4,16.53311,1"
"202,0.06015,0.28225,6,""5"",""G6_P5"",""Melissa"",""21_08_2020"",84.4,17.86231,0.824328271028037"
"203,0,0.10935,7,""1"",""G7_P1"",""Prosper"",""21_08_2020"",91,10.69441,1"
"204,0.0627500000000001,0.04205,5,""1"",""G5_P1"",""Prosper"",""21_08_2020"",85,12.89111,0.401240458015267"
"205,0.03905,0.0506500000000001,3,""5"",""G3_P5"",""Melissa"",""21_08_2020"",94.2,24.28621,0.564659977703456"
"206,0,0.24245,5,""5"",""G5_P5"",""Aphia"",""24_08_2020"",83.7,13.70251,1"
"207,0.0395500000000001,0,6,""3"",""G6_P3"",""Melissa"",""24_08_2020"",83.6,18.48606,0"
"208,0.15985,0.20555,7,""5"",""G7_P5"",""Xinji"",""30_07_2020"",61,10.16321,0.562534209085933"
"209,0.0577500000000001,0.12555,3,""5"",""G3_P5"",""Aphia"",""24_08_2020"",73.5,11.97661,0.68494271685761"
"210,0.15845,0.0455500000000001,6,""5"",""G6_P5"",""Nathan"",""24_08_2020"",85.5,13.45561,0.223284313725491"
"211,0.0942500000000001,0,6,""3"",""G6_P3"",""Nathan"",""24_08_2020"",78,15.06206,0"
"212,0.0760500000000001,0.0494,6,""5"",""G6_P5"",""Nathan"",""24_08_2020"",91,6.65346,0.393782383419689"
"213,0,0,6,""5"",""G6_P5"",""Melissa"",""24_08_2020"",62.6,7.45406,NA"
"214,0.05405,0.33755,6,""5"",""G6_P5"",""Melissa"",""24_08_2020"",56.7,8.86981,0.861976506639428"
"215,0.04195,0.0538500000000001,6,""5"",""G6_P5"",""Prosper"",""24_08_2020"",66.3,14.43891,0.562108559498957"
"216,0.11855,0.0223500000000001,6,""3"",""G6_P3"",""Prosper"",""24_08_2020"",55,4.28141,0.15862313697658"
"217,0,0.16365,8,""5"",""G8_P5"",""Prosper"",""20/07/2020"",74,18.27291,1"
"218,0.26585,0.0728,8,""3"",""G8_P3"",""Prosper"",""20/07/2020"",77.5,12.62356,0.214971209213052"
"219,0.0859500000000001,0.24895,8,""1"",""G8_P1"",""Prosper"",""20/07/2020"",80.5,17.75681,0.743356225739026"
"220,0.27415,0.0468,1,""3"",""G1_P3"",""Prosper"",""21/07/2020"",68,9.58746,0.145817105468141"
"221,0.10175,0,8,""3"",""G8_P3"",""Nora"",""20/07/2020"",63,19.62396,0"
"222,0.13645,0,1,""1"",""G1_P1"",""Nora"",""20/07/2020"",63,14.37906,0"
"223,0.06025,0.06255,8,""5"",""G8_P5"",""Nora"",""20/07/2020"",71,16.01661,0.509364820846905"
"224,0.0639500000000001,0.0234,1,""3"",""G1_P3"",""Nora"",""21/07/2020"",68,2.74366,0.267887807670292"
"225,0,0.43075,8,""1"",""G8_P1"",""Nathan"",""20/07/2020"",73,15.92121,1"
"226,0.10025,0,1,""1"",""G1_P1"",""Nathan"",""20/07/2020"",72,34.80706,0"
